aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm
-0.346651637351595,1,0.0335625560245363,1.0,2.7304130639663192e-05,1.0,2019-04-09,Karachi,1.5833314304461017
-0.4347028918636832,1,0.0347998702725359,1.0,3.5269230769411044e-05,1.0,2019-04-16,Karachi,0.8259949306438502
-0.1974710559928651,1,0.0346506567482958,1.0,2.558951132585859e-05,1.0,2019-04-23,Karachi,0.02559869919519291
-0.0784480719194376,1,0.0350864000905749,1.0,4.183267487801447e-05,1.0,2019-04-30,Karachi,0.04979851016676056
-0.0190607931901973,1,0.0326767756023006,1.0,2.0776251190116036e-05,1.0,2019-05-07,Karachi,0.23276790182054843
-0.1828383413395084,1,0.0319880832519803,1.0,2.123560249351255e-05,1.0,2019-05-14,Karachi,1.0110554111220507
-0.27505587027499,1,0.0313589449565488,1.0,1.91652350417572e-05,1.0,2019-05-21,Karachi,0.10283075886423236
-0.1050804837569406,1,0.0312334813293391,1.0,1.976560341286119e-05,1.0,2019-05-28,Karachi,0.22383835962521817
0.2524720915038475,1,0.0298551204219517,1.0,1.816088385483172e-05,1.0,2019-06-04,Karachi,0.28936952871744126
0.2229316371074646,1,0.0311667082972552,1.0,3.4569043206023835e-05,1.0,2019-06-11,Karachi,0.7193056303093062
0.2782869985177177,1,0.0301575272567965,1.0,2.825461079814866e-05,1.0,2019-06-18,Karachi,1.0486552498848423
0.3394981364232922,1,0.0307765083482034,1.0,2.443635323801887e-05,1.0,2019-06-25,Karachi,2.416050653153206
0.781201461825807,1,0.0312387298332176,1.0,2.601915565681327e-05,0.9930795847750864,2019-07-02,Karachi,2.0698374419653276
-0.2322574283039448,1,0.0304550976385375,1.0,1.8586237083740967e-05,1.0,2019-07-09,Karachi,4.138502596692949
-0.0309388806807067,1,0.029843218238339,1.0,2.534440207641808e-05,1.0,2019-07-16,Karachi,3.0116616439660038
-0.1787664148184232,1,0.0316602901650187,1.0,2.246858713613212e-05,1.0,2019-07-23,Karachi,55.26734305490925
-0.4382539160110467,1,0.0313195187412372,0.9896193771626296,2.26258703719212e-05,0.9930795847750864,2019-07-30,Karachi,25.009111678171482
-0.5915454884369764,1,0.0304175800213013,1.0,3.1288011982494664e-05,0.8719723183391004,2019-08-06,Karachi,130.34682370240165
-0.3962432855878293,1,0.0298966844147847,1.0,1.90395220553566e-05,0.9965397923875432,2019-08-13,Karachi,4.0272066938088065
-0.5692434403220112,1,0.0312298570608593,1.0,2.381886075806236e-05,0.9930795847750864,2019-08-20,Karachi,2.7361933240404626
-1.3340434365675902,1,0.0363854864574434,1.0,3.730144244597115e-05,1.0,2019-08-27,Karachi,87.91804734631889
-1.0440288112202525,1,0.0360489294003896,0.9653979238754326,3.714406536102574e-05,1.0,2019-09-03,Karachi,3.6594631747099124
-0.8814502481421929,1,0.0312620788148449,1.0,2.805922740826282e-05,1.0,2019-09-10,Karachi,0.8647481438518838
-0.9048618105762236,1,0.0326519621541399,1.0,4.275536380272193e-05,1.0,2019-09-17,Karachi,0.3831222437460843
