aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,precip_mm,city
-1.1157381640168063,1,0.021403492517403044,1.0,3.386422002932486e-05,0.9154411764705882,2019-01-01,61.089978715639454,Johannesburg
-1.1805082109120368,1,0.02171602895551639,1.0,3.953715487438188e-05,1.0,2019-01-08,41.053481671510546,Johannesburg
-1.2776918818927863,1,0.022191175981577688,1.0,9.767261452750505e-05,1.0,2019-01-15,16.17834923003798,Johannesburg
-1.1498688794857872,1,0.020788084127864176,1.0,6.980080331345249e-05,1.0,2019-01-22,40.72970544889055,Johannesburg
-1.3721003365232773,1,0.020330087824173886,1.0,4.357571485718693e-05,0.8492647058823529,2019-01-29,27.287443301630844,Johannesburg
-1.6913824742054893,1,0.02184043594699533,1.0,6.029867626706784e-05,0.8786764705882353,2019-02-05,40.62866532766622,Johannesburg
-0.9724420112415368,1,0.021178319052518674,1.0,7.238113423653718e-05,1.0,2019-02-12,16.928944865196787,Johannesburg
-1.3637193713678966,1,0.02170280117283464,1.0,5.0009230760850703e-05,1.0,2019-02-19,35.72544326770749,Johannesburg
-1.2688594074992332,1,0.022088367940231345,1.0,5.050941969427691e-05,1.0,2019-02-26,0.4781264559586721,Johannesburg
-1.4207565056281881,1,0.023447182439909713,1.0,5.894097977780241e-05,0.9191176470588235,2019-03-05,29.33832485810899,Johannesburg
-1.1610184980682745,1,0.024408469697580506,1.0,0.00013843662300357806,1.0,2019-03-12,1.5116486840618946,Johannesburg
-1.4564212905104308,1,0.020671921618517667,1.0,4.3984829852234995e-05,1.0,2019-03-19,8.5401186743208,Johannesburg
-1.3281558562199989,1,0.022695539667589935,1.0,4.2683685917514815e-05,0.9963235294117647,2019-03-26,9.367684577566212,Johannesburg
-1.060842657794911,1,0.018778183228220637,1.0,3.0918323305831005e-05,1.0,2019-04-02,48.925164088852505,Johannesburg
-1.2998413117816692,1,0.022819362319778217,1.0,8.734262079241952e-05,0.9264705882352942,2019-04-09,24.367171652193527,Johannesburg
-1.3327504124592042,1,0.01950587517285848,1.0,4.799951220227866e-05,1.0,2019-04-16,13.735831460685876,Johannesburg
-1.1632873741501022,1,0.021413546355574492,1.0,9.54292739047407e-05,1.0,2019-04-23,3.3826950112593184,Johannesburg
-1.403538915559647,1,0.022798588264312688,1.0,0.00011320324525323093,1.0,2019-04-30,0.30808609159891837,Johannesburg
-1.3474223256551134,1,0.02122786757706679,1.0,0.00011624374216191629,1.0,2019-05-07,1.1386929058319213,Johannesburg
-1.3023427301316164,1,0.02468531186021336,1.0,0.00019952136019449514,1.0,2019-05-14,0.26139248623908606,Johannesburg
-1.497433385292351,1,0.024648153683557557,1.0,0.0001933259854004761,1.0,2019-05-21,3.7940251968613325,Johannesburg
-1.3308296138900413,1,0.023457575334683182,1.0,0.00021017173376944762,1.0,2019-05-28,0.7439617092500788,Johannesburg
-1.1205452113869518,1,0.022763778370984925,1.0,0.00014567341529720938,1.0,2019-06-04,1.194710390258454,Johannesburg
