aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm
-0.4869426065273424,1,0.0329044481711949,1.0,7.950483599934514e-05,1.0,2019-01-01,Cairo,0.05334742384208769
-0.4646288726060513,1,0.0334934064595028,1.0,0.0001397980794655,1.0,2019-01-08,Cairo,0.013484544857665233
-0.221866017347627,1,0.0323621815632211,1.0,0.0001235018220205,1.0,2019-01-15,Cairo,0.0960948436020954
-0.4841383649496269,1,0.0335953611285278,1.0,0.0001071728468278,1.0,2019-01-22,Cairo,0.012408963740438055
-0.396936992354709,1,0.0330712352980398,1.0,0.0001328807907395,1.0,2019-01-29,Cairo,0.006110874713122964
-0.4620202657718364,1,0.034366047970732,1.0,8.847746055920967e-05,1.0,2019-02-05,Cairo,11.216760849086794
-0.713254258453952,1,0.0345407545220181,1.0,0.0001222945201421,1.0,2019-02-12,Cairo,2.021725237568729
-0.5131011181057423,1,0.0349184451347338,1.0,0.000147479723749,1.0,2019-02-19,Cairo,0.19443189720074944
-0.539690869902831,1,0.033491494731045,0.9965397923875432,6.269208593781394e-05,1.0,2019-02-26,Cairo,0.7405548447035514
-0.8020252458911556,1,0.0351795418440629,1.0,0.0001076656604387,1.0,2019-03-05,Cairo,2.1978887932539637
-0.5270369771220532,1,0.0346369738319447,1.0,8.934170657693381e-05,1.0,2019-03-12,Cairo,0.40329089128579454
-0.3891204250319788,1,0.0338710013966966,1.0,8.0155427481142e-05,1.0,2019-03-19,Cairo,1.2792878121209839
-0.5090920114864903,1,0.0349773797284134,1.0,8.060976222819384e-05,1.0,2019-03-26,Cairo,2.107757602724473
-0.5405309373025909,1,0.037716374463192,1.0,9.909068137804684e-05,1.0,2019-04-02,Cairo,0.09528076957722408
-0.200375367336231,1,0.0387668826881153,1.0,8.741186684026009e-05,1.0,2019-04-09,Cairo,3.583194728933276
-0.6142728731358565,1,0.0394705288761654,1.0,6.855995202128168e-05,1.0,2019-04-16,Cairo,0.0307213791204047
0.6778454490898269,1,0.0372263048912078,1.0,7.512421771273813e-05,1.0,2019-04-23,Cairo,0.006002009246941498
0.3700733700181808,1,0.0357773162824725,1.0,8.35287899468768e-05,1.0,2019-04-30,Cairo,0.17473406019775675
-0.291031796619401,1,0.0361587868025032,1.0,0.0001015360798259,1.0,2019-05-07,Cairo,0.009670102976490982
0.1552453753674827,1,0.0341576524194723,1.0,9.063362063006944e-05,1.0,2019-05-14,Cairo,0.006156531475754453
