aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,precip_mm,city
-0.7665607911523231,1,0.0317636695546697,1.0,0.00014223284151250703,1.0,2019-01-01,9.177248053092601,Los Angeles
-1.0479325762176608,1,0.03132197020688462,1.0,0.0001403395311644853,0.9965397923875432,2019-01-08,55.33514310006474,Los Angeles
-0.7158588319598296,1,0.030856293656085252,0.8961937716262975,7.117936367935196e-05,1.0,2019-01-15,66.17658358943747,Los Angeles
-0.8670001738970395,1,0.033405388464302695,0.8408304498269896,0.00017575966922764614,1.0,2019-01-22,2.9217512944538666,Los Angeles
-0.9223739372809892,1,0.03200404537987052,1.0,0.0002218029845439328,0.9930795847750865,2019-01-29,15.265256984015974,Los Angeles
-0.9707435180750622,1,0.035535963877769604,1.0,0.00012453317897409474,1.0,2019-02-05,0.0,Los Angeles
-0.8765543120260331,1,0.032573883888378785,1.0,7.13358065251202e-05,0.9930795847750865,2019-02-12,137.51931099408998,Los Angeles
-1.0733103308606649,1,0.0347912432919593,0.9480968858131488,0.00012142486433250158,1.0,2019-02-19,0.30341923760587197,Los Angeles
-1.1605203813058114,1,0.03448950700275081,1.0,0.00010061004790013159,0.8961937716262975,2019-02-26,29.54462489097643,Los Angeles
-0.9527731811791844,1,0.035944092014469936,1.0,4.8286787557027505e-05,0.9757785467128027,2019-03-05,32.66125522666778,Los Angeles
-0.819154450950843,1,0.036828472173439764,0.9100346020761245,9.908532041622487e-05,1.0,2019-03-12,7.603195383513043,Los Angeles
-1.0968461915914374,1,0.040611168982918805,0.9307958477508651,7.809145202553826e-05,1.0,2019-03-19,0.7367432452055463,Los Angeles
-0.8242131498047566,1,0.03962533172915511,0.9515570934256056,0.00010356106578059073,1.0,2019-03-26,1.513874390417097,Los Angeles
-1.1383125208063154,1,0.03729524259064117,0.9307958477508651,6.951606969835965e-05,1.0,2019-04-02,5.4310216347316755,Los Angeles
