aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm
-0.7592643291963941,1,0.0268232729198942,1.0,0.0002714083183952,0.8477508650519031,2019-01-01,Tehran,20.776471841457766
-0.6358907288405017,1,0.0294883520877068,1.0,0.0003388499102318,0.903114186851211,2019-01-08,Tehran,21.292516541625975
-0.6033128713920626,1,0.0293637406788518,1.0,0.0004223806252515,0.7647058823529411,2019-01-15,Tehran,19.281878217289993
-0.5714558779336062,1,0.0319934746912002,1.0,0.0004632911085076,0.8235294117647058,2019-01-22,Tehran,19.217054381873485
-0.8087765734230682,1,0.0302838428295542,1.0,0.0003192611437774,0.7854671280276817,2019-01-29,Tehran,15.869462924460581
-0.7488579750341418,1,0.0279366375274518,1.0,0.0003775741028316,0.8235294117647058,2019-02-05,Tehran,7.969746077441273
-0.8607749917884022,1,0.0296442162622267,1.0,0.0003121542023166,0.8477508650519031,2019-02-12,Tehran,14.357950579124772
-0.8905021040912718,1,0.0305612239858926,1.0,0.0002406081247542,0.8961937716262975,2019-02-19,Tehran,2.3094214639416824
-0.6318933270122913,1,0.0299358095899691,1.0,0.0002263825202555,0.9342560553633218,2019-02-26,Tehran,10.207274130095808
-0.7897969345986623,1,0.0295537858116,1.0,0.0002922867159146,0.8961937716262975,2019-03-05,Tehran,5.800042497169545
-0.5681760266099604,1,0.0314376724252976,1.0,0.0002905395902822,0.9550173010380624,2019-03-12,Tehran,24.56157829783603
-0.7228828313678206,1,0.030459168863659,1.0,0.0001944760802742,0.8442906574394463,2019-03-19,Tehran,25.69148417777782
-0.7393776005019498,1,0.0279059316810092,0.9930795847750864,9.402323329705372e-05,0.7058823529411765,2019-03-26,Tehran,59.40566106891579
-0.7461174457530816,1,0.0282136997590538,1.0,8.868446666644807e-05,0.944636678200692,2019-04-02,Tehran,9.080184438713722
-0.5611296309791955,1,0.0305003610793689,1.0,0.0001300648145294,0.9965397923875432,2019-04-09,Tehran,3.5801329557325587
-0.7457637747593858,1,0.0289349234902412,1.0,7.975973885678686e-05,0.9550173010380624,2019-04-16,Tehran,18.57968004974139
-0.8241057350338186,1,0.0303058461759614,1.0,0.0001524695228687,0.9792387543252596,2019-04-23,Tehran,4.875153817858558
-0.5929279936110984,1,0.0294245155001639,1.0,0.000136455791858,1.0,2019-04-30,Tehran,4.16727391347324
-0.3325595008349225,1,0.0290674962585455,1.0,0.0001228206982514,0.9653979238754326,2019-05-07,Tehran,3.5844641072704513
-0.4761590789580122,1,0.0301926543056016,1.0,0.0001259976655742,1.0,2019-05-14,Tehran,6.469323515023495
-0.6013351351073714,1,0.0296132089601725,1.0,0.0001178534916452,0.9653979238754326,2019-05-21,Tehran,12.395973611428145
-0.5507809480226488,1,0.0291018088510689,1.0,0.0001217760444586,0.9965397923875432,2019-05-28,Tehran,9.38141681350925
-0.4036316217689549,1,0.0290538638422648,1.0,8.952183263061251e-05,0.9896193771626296,2019-06-04,Tehran,8.519194760224599
-0.4056384339539312,1,0.0283302964357594,1.0,0.0001062703270455,0.9965397923875432,2019-06-11,Tehran,3.278127969722828
-0.3430815521584266,1,0.0304907561229372,1.0,9.581793665376084e-05,1.0,2019-06-18,Tehran,3.7909439386534807
-0.1978587063216588,1,0.0305064882387349,1.0,8.775811943624534e-05,1.0,2019-06-25,Tehran,4.587819068086913
-0.3387463511758307,1,0.0291838562438309,1.0,0.000104003503913,1.0,2019-07-02,Tehran,2.127122365434096
