aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,precip_mm,city
-0.6109081750159405,1,0.03398870717858172,1.0,4.977948344558436e-05,0.20703125,2019-01-01,,London
-0.607838516018429,1,0.033504347850201004,1.0,6.266340610591147e-05,0.97265625,2019-01-08,,London
-0.46865921312996783,1,0.03390535998437868,1.0,0.00011620980074371378,1.0,2019-01-15,,London
-0.6316392677999062,1,0.031491808037618294,1.0,8.360054506512345e-05,1.0,2019-01-22,,London
-0.6610953041335397,1,0.033310086221339213,1.0,0.00010459862576915811,0.99609375,2019-01-29,,London
-0.5714246624052531,1,0.033676249998026916,1.0,5.2886420494531794e-05,0.91015625,2019-02-05,,London
-0.7515027879563969,1,0.03244724679512379,1.0,0.00013165800302109346,1.0,2019-02-12,,London
-1.032365843955388,1,0.03691743590388765,1.0,0.00011484383371833626,1.0,2019-02-19,,London
-0.944473786945125,1,0.0348250531168567,1.0,0.00019510609057797192,1.0,2019-02-26,,London
-0.9057388318427351,1,0.0357674250391931,1.0,4.3102516985115994e-05,1.0,2019-03-05,,London
-1.0692428427589036,1,0.03539123412885093,1.0,4.0779709005343006e-05,0.9765625,2019-03-12,,London
-0.9556028559412553,1,0.038361629034296636,1.0,8.19377603966822e-05,1.0,2019-03-19,,London
-1.0929287636791603,1,0.0385316833571814,1.0,9.678015162933709e-05,1.0,2019-03-26,,London
-0.754028434102176,1,0.03672095872836221,0.98828125,9.6393094778082e-05,0.19921875,2019-04-02,,London
-1.1133197281794207,1,0.038592100721356416,1.0,7.337400527705826e-05,1.0,2019-04-09,,London
-1.3116986502064725,1,0.03935623309481983,1.0,0.00011447163082300449,1.0,2019-04-16,,London
-0.9582524190605467,1,0.033520689443259186,1.0,3.3446407681782774e-05,0.51171875,2019-04-23,,London
-1.1303249231381203,1,0.03507927931502229,1.0,4.3676042256896583e-05,0.640625,2019-04-30,,London
-1.179063795993743,1,0.03353753581555447,1.0,8.778273805993873e-05,1.0,2019-05-07,,London
-1.1912277808560496,1,0.034079074938027844,1.0,8.571555442262516e-05,1.0,2019-05-14,,London
