aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,precip_mm,city
-0.8576660565369529,1,0.04624004615295232,0.8823529411764706,6.470829707613662e-05,0.9965397923875432,2019-01-01,5.480337461479537,Bangkok
-1.0833771595457176,1,0.047124648700947486,0.9757785467128027,8.151247009229848e-05,1.0,2019-01-08,0.6638360470681519,Bangkok
-1.186268330341314,1,0.057220189337342145,0.9965397923875432,8.54398157424521e-05,1.0,2019-01-15,0.0,Bangkok
-0.9434132768692649,1,0.05365521540826963,0.8823529411764706,7.446326116263909e-05,1.0,2019-01-22,0.0,Bangkok
-1.0804747153745276,1,0.054016759861829064,0.9688581314878892,7.973160724771109e-05,1.0,2019-01-29,0.0481019415770572,Bangkok
-1.1016705112183878,1,0.048161684958600404,1.0,5.2515346239636105e-05,1.0,2019-02-05,5.003114356427375,Bangkok
-1.169024474001432,1,0.047991269978343055,0.9134948096885813,6.19131352669845e-05,1.0,2019-02-12,2.630381012152972,Bangkok
-1.261840792887481,1,0.04075592369484635,1.0,5.272697954946524e-05,1.0,2019-02-19,4.7389533992550215,Bangkok
-1.2098879817673047,1,0.04887344526042387,1.0,5.2372129466771626e-05,1.0,2019-02-26,0.006188972046897363,Bangkok
-1.0532800011870658,1,0.04153715732313065,1.0,5.026909528993402e-05,1.0,2019-03-05,0.14528553149032702,Bangkok
-0.8745641703775918,1,0.05056930752075058,1.0,6.453059466923719e-05,1.0,2019-03-12,5.856654521344716,Bangkok
-0.97106616804187,1,0.05319399605776771,1.0,5.901816028578635e-05,1.0,2019-03-19,6.217365295210455,Bangkok
-1.306329628188737,1,0.04658520761286794,1.0,5.4263009323328234e-05,1.0,2019-03-26,8.640739463765863,Bangkok
-1.366113840482222,1,0.043730446698893394,1.0,5.255224172273855e-05,1.0,2019-04-02,18.764459678655456,Bangkok
-1.1284024287924124,1,0.0421468378044794,1.0,4.2283118142566986e-05,1.0,2019-04-09,5.691151652417797,Bangkok
-1.2560478523836274,1,0.03906705744184569,1.0,4.5906305197274426e-05,1.0,2019-04-16,15.69283160758295,Bangkok
-1.3439028954737682,1,0.03810334381826855,1.0,4.6381553219104636e-05,1.0,2019-04-23,15.166133408051923,Bangkok
-1.1927737177681177,1,0.03826031084026329,0.9100346020761245,4.2979608896822146e-05,1.0,2019-04-30,9.526545658792703,Bangkok
