aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm,no2_log,co_log,doy_sin,doy_cos,low_confidence,split
0.6511429237407952,1,0.0937594505226342,0.9965397923875432,4.698009718098099e-05,1.0,2020-02-04,Lagos,1.9479109336016136,-9.965786510174961,-2.3670228136373925,0.5663619330814524,0.8241566360566663,False,train
1.3670337334479326,1,0.0821602843228065,1.0,4.8797296274318664e-05,1.0,2020-02-11,Lagos,0.1625263782146583,-9.927835650854824,-2.4990832527689113,0.6612634749656386,0.7501537286959042,False,train
0.5099635736469957,1,0.0721371438537499,1.0,4.750147232067752e-05,1.0,2020-02-18,Lagos,3.444126741245722,-9.954749851179262,-2.629186196004546,0.746588114532413,0.6652865452111116,False,train
0.3482204253104226,1,0.077406986135511,1.0,4.6751690363871525e-05,1.0,2020-02-25,Lagos,21.714079075649742,-9.970660145367276,-2.5586782423109367,0.8211001178128892,0.5707841943569036,False,train
-0.5218274286241233,1,0.0636386407617752,0.944636678200692,3.909027398266477e-05,1.0,2020-03-03,Lagos,42.05460733846158,-10.149636869162107,-2.754534433977989,0.8837203473619977,0.4680153284438345,False,train
-0.5344542981279885,1,0.0602746802543998,1.0,3.7418515499326006e-05,1.0,2020-03-10,Lagos,10.718241502233576,-10.19334490922204,-2.8088431597087355,0.9335418911179212,0.35846832151248087,False,train
-0.2393322585552128,1,0.0682449977281421,1.0,3.94002308033575e-05,0.9930795847750864,2020-03-17,Lagos,13.137603929454269,-10.141738883724308,-2.684651140963713,0.969843196967294,0.24372971360968387,False,train
-0.7675458663274989,1,0.0534047394665853,1.0,2.9821291399260385e-05,0.9930795847750864,2020-03-24,Lagos,17.622374548130963,-10.420287943084482,-2.9298557828984917,0.992098522791769,0.12546123335273648,False,train
-0.6816015805480585,1,0.0526972156116425,1.0,2.1534154243469933e-05,0.9757785467128028,2020-03-31,Lagos,3.956976505263046,-10.74587031380872,-2.9431926595243127,0.9999855506507186,0.005375731557583884,False,train
-0.943985784498336,1,0.0476548235006159,1.0,1.5843015416674767e-05,1.0,2020-04-07,Lagos,12.371590878469966,-11.052781822481217,-3.0437714262901863,0.9933900548258936,-0.11478762552212701,False,train
-0.2560814021480565,1,0.0478850884539639,1.0,1.9243266721055688e-05,0.9826989619377162,2020-04-14,Lagos,29.51947026027992,-10.858349339142407,-3.038951128793723,0.9724075561219968,-0.23328854407545518,False,train
-0.9566803478464038,1,0.0526998648037121,1.0,2.599742604334279e-05,1.0,2020-04-21,Lagos,25.075991032004513,-10.557513023176421,-2.9431423888325683,0.9373419384643772,-0.3484108069446808,False,train
-0.9671839209763744,1,0.0469371548733896,0.9273356401384084,2.420512089230163e-05,1.0,2020-04-28,Lagos,21.71479096218484,-10.62894634006736,-3.0589457023819753,0.8887010478292915,-0.45848712914008766,False,train
