aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm
-0.0551316367260314,1,0.0734007041780114,1.0,0.0002985737048227,1.0,2019-01-01,Beijing,0.007354993971041359
-0.1817935502396649,1,0.0678348202335011,1.0,0.0003404353923221,1.0,2019-01-08,Beijing,0.007778514745524489
-0.5431399167054658,1,0.0419978072563418,0.9688581314878892,0.0001880288048664,1.0,2019-01-15,Beijing,0.007265221142915834
-0.4275502884250452,1,0.0526909660828406,0.9965397923875432,0.0002398257687101,1.0,2019-01-22,Beijing,0.008360765027994014
-0.1246594632691667,1,0.0507520715187556,0.9826989619377162,0.0001642905286427,1.0,2019-01-29,Beijing,0.12174875199589756
-0.2608205205794608,1,0.0676717350487213,0.9515570934256056,0.0001504263891704,1.0,2019-02-05,Beijing,0.28622565273486633
-0.3673562062520671,1,0.055233432490553,1.0,7.529659091354914e-05,1.0,2019-02-12,Beijing,4.1160304418638525
-0.4568064177079489,1,0.0633205996356267,1.0,0.0002184415841351,1.0,2019-02-19,Beijing,0.13464000076486196
-0.4198991714284701,1,0.0672086575606367,1.0,0.0001869781957396,1.0,2019-02-26,Beijing,0.30076305824553956
-0.6740457267333078,1,0.0493784309675757,0.9965397923875432,0.0001508969463931,1.0,2019-03-05,Beijing,3.6601902578732615
-0.555135239365185,1,0.0465156291090976,1.0,0.000203208570924,1.0,2019-03-12,Beijing,0.07403108110677895
-0.6706115923093124,1,0.0443098171033588,1.0,0.0001560702689398,1.0,2019-03-19,Beijing,3.8244485654264566
-0.5183603730726141,1,0.047976986741163,1.0,0.0001945507560702,1.0,2019-03-26,Beijing,1.6131473381939991
-0.5693258318593627,1,0.0539441146772392,1.0,0.0002723039313805,1.0,2019-04-02,Beijing,0.49494649038808797
-0.8688199389136011,1,0.046824668771165,1.0,0.0001521179364088,1.0,2019-04-09,Beijing,0.88702390020607
-0.5130758432238337,1,0.0608682314388189,1.0,0.0001683265507497,1.0,2019-04-16,Beijing,4.416419766431959
-0.2724558626916115,1,0.0452637551347001,1.0,7.361675064277677e-05,1.0,2019-04-23,Beijing,32.34967295069793
-0.6938283503232856,1,0.0423837768946866,1.0,0.0001141144523339,1.0,2019-04-30,Beijing,0.010354120407662457
-0.7099000456276741,1,0.0489574987641415,1.0,0.0001229479840718,1.0,2019-05-07,Beijing,1.161131758932993
-0.3296568750147998,1,0.0473736913963752,1.0,0.0001063187068794,1.0,2019-05-14,Beijing,9.64899572106481
-0.6809987557288923,1,0.0427163221489737,1.0,0.0001291684929328,1.0,2019-05-21,Beijing,10.730314035458848
-0.708072584212099,1,0.0428650633686424,1.0,0.0001159171571632,1.0,2019-05-28,Beijing,2.6333365468614085
-0.842676727353875,1,0.0449391553696137,1.0,7.665906877530197e-05,1.0,2019-06-04,Beijing,11.095495303920021
-1.1578246892031192,1,0.0542312101137903,1.0,9.849851318966846e-05,1.0,2019-06-11,Beijing,10.644666727419109
-1.4148385445515013,1,0.0575660940067847,1.0,0.0001013361968164,1.0,2019-06-18,Beijing,1.8722924701175334
-1.227916843000154,1,0.0400974085754046,1.0,6.489734490782962e-05,1.0,2019-06-25,Beijing,5.079419965434592
-1.2209421788117818,1,0.0472931819257679,1.0,0.0001031420267252,1.0,2019-07-02,Beijing,55.7910505149151
-1.472836059477109,1,0.0532018951577276,1.0,7.12844939505682e-05,1.0,2019-07-09,Beijing,20.47666733751528
-1.0743566389723749,1,0.0584526140446172,1.0,7.912182607192474e-05,1.0,2019-07-16,Beijing,37.442620550607586
-1.0675329538260645,1,0.0501078644184269,1.0,7.718643110562997e-05,1.0,2019-07-23,Beijing,40.79899578895196
-1.1280499475492214,1,0.0634480168202723,1.0,7.950124152105429e-05,1.0,2019-07-30,Beijing,52.989345483927174
-1.3587685284818916,1,0.0543203110851786,1.0,9.017167967794357e-05,0.71280276816609,2019-08-06,Beijing,53.89235012625017
-1.0816104765692467,1,0.0436624069248982,1.0,8.494725906321925e-05,1.0,2019-08-13,Beijing,5.110783073724706
-1.1358192156155007,1,0.0507681476257056,1.0,9.65830287884012e-05,1.0,2019-08-20,Beijing,8.59723105308677
-1.3127218650416164,1,0.042977797124962,1.0,7.14048689358027e-05,1.0,2019-08-27,Beijing,0.052752072689800644
-1.3937618455858434,1,0.0549237516800904,1.0,9.267416389438966e-05,1.0,2019-09-03,Beijing,23.024843371652018
-1.0592252992807525,1,0.0488152008191214,0.9930795847750864,0.0001607870418049,1.0,2019-09-10,Beijing,19.630735158710657
-1.378558775733828,1,0.0491808090190638,1.0,0.0001474894206455,1.0,2019-09-17,Beijing,0.15738800846295428
-1.4304724793467052,1,0.0467719574908858,1.0,8.774508784045681e-05,1.0,2019-09-24,Beijing,0.015658364213593623
-1.1121951427758356,1,0.0422328084935494,1.0,7.68106051330766e-05,1.0,2019-10-01,Beijing,18.596478014377624
-0.8453985012479641,1,0.0405829472854331,1.0,0.0001800960508667,1.0,2019-10-08,Beijing,3.2770295734258537
-1.004967487725443,1,0.0486563515442345,1.0,0.0001885909279296,1.0,2019-10-15,Beijing,3.2930269419605374
-0.8565493005765619,1,0.0413963092278198,1.0,0.0002072627654005,1.0,2019-10-22,Beijing,3.6864344446231523
-1.0045521379572042,1,0.042030376262883,1.0,0.0002969216820887,1.0,2019-10-29,Beijing,3.6176697269495537
-0.9785730010323171,1,0.0450538945203098,1.0,0.000234956112245,1.0,2019-11-05,Beijing,14.621841632058375
-0.4882150210915499,1,0.0421690598399392,1.0,0.0002489896040693,1.0,2019-11-12,Beijing,1.3452563579530759
-0.5819133451224507,1,0.0432532840719413,1.0,0.0002626728820543,1.0,2019-11-19,Beijing,0.10058218023414155
-1.0636184327427245,1,0.0492517769403259,1.0,0.0003102232482133,1.0,2019-11-26,Beijing,2.1926765230233713
-0.7408328181668808,1,0.0492464004409964,1.0,0.0002582185742755,1.0,2019-12-03,Beijing,0.005912899815377707
-0.9490064463293558,1,0.041984205411473,1.0,0.0002502853642977,1.0,2019-12-10,Beijing,5.045761971262854
-1.0656347167112927,1,0.0512238005764575,1.0,0.0002651544373273,0.9792387543252596,2019-12-17,Beijing,0.4281680992939631
-0.4361040630688973,1,0.0592699124252308,1.0,0.0002579268333914,1.0,2019-12-24,Beijing,0.44314213405141334
-0.8991907246619577,1,0.0528837340867094,1.0,0.0002807349501249,1.0,2019-12-31,Beijing,2.8537420302292476
-1.065666184061103,1,0.0484263609296543,1.0,0.0001861674556192,1.0,2020-01-07,Beijing,0.026682352226112684
-0.8465329240244617,1,0.0528461469183293,1.0,0.0002562056296113,1.0,2020-01-14,Beijing,0.007271985797911264
-0.6366658958498925,1,0.0621969132099731,1.0,0.0002008253810906,1.0,2020-01-21,Beijing,0.009023710702983996
-1.0288599215170626,1,0.0620768944817054,1.0,9.335452134141196e-05,1.0,2020-01-28,Beijing,2.229069225888532
-0.7547907332670404,1,0.0561459889489238,1.0,0.0001062966959141,1.0,2020-02-04,Beijing,2.05540489312585
-0.6916731752619821,1,0.0668366023509615,1.0,7.326112081225297e-05,1.0,2020-02-11,Beijing,17.16118772344616
-0.7710503817356411,1,0.0558400323190382,1.0,0.0001398823594652,1.0,2020-02-18,Beijing,0.4170645321280651
-0.8197655072725929,1,0.0577134650300662,1.0,0.0001253103134559,1.0,2020-02-25,Beijing,6.051638330863223
-1.020888390911565,1,0.0494426859162002,1.0,8.273025200346682e-05,1.0,2020-03-03,Beijing,7.473326055226192
-0.9813580442222052,1,0.0431327711581277,1.0,0.0001071075028622,1.0,2020-03-10,Beijing,0.0034519209018192072
-1.0133600363690791,1,0.0455078762163601,1.0,0.0001586779331109,1.0,2020-03-17,Beijing,0.09334158885204315
-0.929755061654363,1,0.0556071456433394,1.0,0.0001562954292913,1.0,2020-03-24,Beijing,4.590129340259783
-1.037865257383361,1,0.0475717359104079,1.0,0.0001361820391251,1.0,2020-03-31,Beijing,0.4304208037165956
-1.1012053498641043,1,0.0528051090693901,1.0,0.0001095574942531,1.0,2020-04-07,Beijing,1.1507625721718904
-1.070959248208864,1,0.0528963642953241,1.0,0.0001221278900786,1.0,2020-04-14,Beijing,16.627649149887212
-1.0367497063776994,1,0.0442464746462862,1.0,6.325193842515126e-05,1.0,2020-04-21,Beijing,0.0264616606559116
-1.0182651693585878,1,0.0592022003784946,1.0,0.0001427542453522,1.0,2020-04-28,Beijing,2.1331355166343355
-0.8924547587727516,1,0.0451562584832175,1.0,7.215264231854271e-05,1.0,2020-05-05,Beijing,9.544238283873863
-0.318084517888017,1,0.044253017290094,1.0,9.961932645488202e-05,1.0,2020-05-12,Beijing,2.0019519730182833
-1.1932130216379755,1,0.0451935717857204,1.0,7.740094972906503e-05,1.0,2020-05-19,Beijing,10.570776681060677
-1.232377057327647,1,0.0449563419863958,1.0,0.0001012608497148,1.0,2020-05-26,Beijing,11.645031357515187
-0.7898509980568154,1,0.0458754865767983,1.0,0.0001215055784762,1.0,2020-06-02,Beijing,0.025352442737907745
-1.194403137025148,1,0.0451791811882519,1.0,8.13792202209663e-05,1.0,2020-06-09,Beijing,3.379936378806499
-1.6504208436577754,1,0.0544476999988989,1.0,8.688224198943908e-05,1.0,2020-06-16,Beijing,3.399869285682089
-1.435134227776463,1,0.0498923440319322,1.0,6.503984840454593e-05,0.8442906574394463,2020-06-23,Beijing,27.803267733216703
2.336784328343783,1,0.0460918965707326,1.0,6.879499194841117e-05,1.0,2020-06-30,Beijing,18.350324191686767
-1.194866284340144,1,0.0527568866721366,1.0,5.802388818465506e-05,1.0,2020-07-07,Beijing,29.136362253143
-1.5564994094711344,1,0.0500972153503824,1.0,5.897710890022209e-05,1.0,2020-07-14,Beijing,7.563749958085611
-1.4411232845769013,1,0.0500976388534855,1.0,5.5926517994108015e-05,1.0,2020-07-21,Beijing,15.295649603870833
-1.274151117082018,1,0.0458583577016323,1.0,7.551703883044854e-05,1.0,2020-07-28,Beijing,11.329748271020351
-1.4415903741703036,1,0.0414727058986664,1.0,6.732743875277794e-05,1.0,2020-08-04,Beijing,32.311501288422754
-1.2890483256427936,1,0.0421155788095266,1.0,7.58699852058179e-05,1.0,2020-08-11,Beijing,62.690325773165675
-1.4693905468228428,1,0.0427141220402541,1.0,5.737942913968505e-05,1.0,2020-08-18,Beijing,56.32679514649766
-1.451181194804544,1,0.0476245344021739,1.0,8.705723538325888e-05,1.0,2020-08-25,Beijing,6.941061846935916
-1.5401610917172923,1,0.0401975436045891,1.0,7.529870979375365e-05,1.0,2020-09-01,Beijing,2.1053478601758018
-1.452894064427776,1,0.0459657333223831,1.0,5.391493557989913e-05,1.0,2020-09-08,Beijing,21.36089726355963
-1.243899893210332,1,0.0435503281730351,1.0,8.655943409434595e-05,1.0,2020-09-15,Beijing,12.15332624965048
-1.3379650090138735,1,0.0548388497873093,1.0,6.538283645334998e-05,0.9792387543252596,2020-09-22,Beijing,32.531719093603975
-1.2967152949309586,1,0.0461783109338079,1.0,0.0001231718468769,1.0,2020-09-29,Beijing,9.059774846136325
