aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,precip_mm,city
-1.2506238654074744,1,0.026785080444667646,1.0,9.768556021062074e-05,1.0,2019-01-01,4.534486109103034,Mexico City
-1.153841960765917,1,0.02633407081135375,1.0,0.00012168041154892184,1.0,2019-01-08,0.9266679956792263,Mexico City
-1.2420711244330325,1,0.025354574509205828,1.0,0.00010472894492806752,1.0,2019-01-15,1.781441124198488,Mexico City
-0.923809876420294,1,0.024745037596140402,1.0,9.156583301862452e-05,1.0,2019-01-22,0.3229124191429461,Mexico City
-0.9820191159051117,1,0.026196908021805503,1.0,0.00010535639721375001,1.0,2019-01-29,0.2670294572576554,Mexico City
-1.1377953790931317,1,0.026400430175604176,1.0,9.278433553731028e-05,1.0,2019-02-05,0.30679476155422586,Mexico City
-1.1946271397555588,1,0.024778511561501786,1.0,7.737936104643916e-05,1.0,2019-02-12,0.5289183833224455,Mexico City
-1.0453822866915643,1,0.022367596304175116,1.0,6.171009025973867e-05,1.0,2019-02-19,1.9214242706823994,Mexico City
-0.912619849527995,1,0.0263478081185288,1.0,8.987067420431082e-05,1.0,2019-02-26,1.8310813442545704,Mexico City
-1.2904563669327265,1,0.0271273636123053,1.0,8.352881465884031e-05,1.0,2019-03-05,4.890726337152427,Mexico City
-1.2717648666690908,1,0.026585470075228875,1.0,7.854192186406926e-05,1.0,2019-03-12,0.9197720262147617,Mexico City
-1.0205262298836788,1,0.028724582985399368,1.0,7.312344748367709e-05,1.0,2019-03-19,0.0,Mexico City
-0.7862982797071547,1,0.03020122834751183,1.0,8.506848328660374e-05,1.0,2019-03-26,0.0,Mexico City
-1.2917356043885153,1,0.0327299036701631,1.0,4.441066602544816e-05,0.875,2019-04-02,0.154818708454233,Mexico City
-0.6397982176002134,1,0.034222792317462114,1.0,6.167922736887793e-05,1.0,2019-04-09,0.0621692165210291,Mexico City
-1.008468828856563,1,0.03256567501301661,1.0,5.631351495194179e-05,1.0,2019-04-16,0.2275683701546329,Mexico City
-1.2843643598628662,1,0.035037918879942544,1.0,5.460030911769422e-05,1.0,2019-04-23,8.276804115584497,Mexico City
-1.0212257273438845,1,0.03177637338545267,0.9963235294117647,5.7569011225572023e-05,0.7352941176470589,2019-04-30,11.377970037273805,Mexico City
-0.3971446108805005,1,0.03991822551329574,1.0,5.113549705635117e-05,1.0,2019-05-07,0.0,Mexico City
-0.8697791541086843,1,0.03826307313417916,1.0,6.24239776399882e-05,0.9926470588235294,2019-05-14,2.13544856943858,Mexico City
-1.1922759581286688,1,0.03194178191942027,1.0,5.893960168402832e-05,0.9889705882352942,2019-05-21,12.717665583897924,Mexico City
-1.0163087550462482,1,0.030783533964080515,1.0,6.69215250932292e-05,0.7683823529411765,2019-05-28,18.378065312923873,Mexico City
-1.1533286497273105,1,0.027319724776580234,1.0,4.577525660269265e-05,1.0,2019-06-04,71.42059678794072,Mexico City
-1.1172648620473482,1,0.025448212948588705,1.0,6.102660953071648e-05,0.9227941176470589,2019-06-11,14.664784610160535,Mexico City
-1.2454225980397264,1,0.025228294823575734,0.9926470588235294,6.040293818918548e-05,0.7904411764705882,2019-06-18,63.58778041220174,Mexico City
-1.2774577850450344,1,0.021661012847309872,0.9926470588235294,4.8996242464837545e-05,0.6948529411764706,2019-06-25,22.584688658513983,Mexico City
-1.37191608968304,1,0.02204118393345732,1.0,5.45818094176982e-05,0.9816176470588235,2019-07-02,35.3855440513685,Mexico City
-1.2157368582596273,1,0.02325226896464407,1.0,4.395337139024384e-05,0.6911764705882353,2019-07-09,52.07772380412103,Mexico City
-1.0911972483777366,1,0.022116441616133506,1.0,4.524664323882852e-05,0.8786764705882353,2019-07-16,66.09202707751945,Mexico City
-1.321009409712097,1,0.020554352397897234,0.9926470588235294,3.9453619778754255e-05,0.8970588235294118,2019-07-23,33.135126674216295,Mexico City
-1.2721858083292157,1,0.022781815643515762,1.0,6.500958348452701e-05,0.9448529411764706,2019-07-30,21.48975806924744,Mexico City
-1.2610282244597943,1,0.022237860084375793,1.0,5.090908547735985e-05,0.9889705882352942,2019-08-06,70.84034843380826,Mexico City
-1.4703205959292307,1,0.02197025020242911,1.0,5.635707399628168e-05,1.0,2019-08-13,29.20174184995749,Mexico City
-1.25624801606285,1,0.02282069784604007,1.0,5.671559328002424e-05,0.7830882352941176,2019-08-20,35.49837027303236,Mexico City
-1.4192637214648152,1,0.021528762846993937,1.0,5.836582916330715e-05,1.0,2019-08-27,16.543606664288774,Mexico City
-1.4160335783074693,1,0.02239707980525501,1.0,5.0903895715287684e-05,0.9007352941176471,2019-09-03,19.022521273724227,Mexico City
-1.1816145024309,1,0.021748887217168666,1.0,4.7603970587813745e-05,0.7389705882352942,2019-09-10,32.06573563082313,Mexico City
-1.3283480996394652,1,0.02292851922651594,1.0,5.573545460167297e-05,0.9558823529411765,2019-09-17,40.29931011474813,Mexico City
-1.408799790326244,1,0.022856369666712593,1.0,6.91054713873692e-05,0.7683823529411765,2019-09-24,25.720554438728072,Mexico City
-1.406980859964121,1,0.023088901053424534,1.0,5.4976281082016315e-05,0.8970588235294118,2019-10-01,28.765965731744533,Mexico City
-1.4120594243117826,1,0.022375449533807427,1.0,5.69544325827821e-05,0.8860294117647058,2019-10-08,12.630605862720103,Mexico City
-1.1926312733040971,1,0.022462475528379457,1.0,8.523115341541047e-05,0.9007352941176471,2019-10-15,15.578332204817578,Mexico City
-1.3803242507509448,1,0.023500586738336996,1.0,5.200954932743136e-05,0.28308823529411764,2019-10-22,31.46440484065509,Mexico City
-1.1811987574365794,1,0.02358373764424361,1.0,0.0001258268102513962,0.6066176470588235,2019-10-29,44.22251848164336,Mexico City
-1.5269468298539417,1,0.022663924601367798,1.0,6.43555343068177e-05,1.0,2019-11-05,6.345882406377655,Mexico City
-1.560137098051819,1,0.023197473710039107,1.0,7.881754924918112e-05,0.8786764705882353,2019-11-12,13.338346454001002,Mexico City
-1.265481611399242,1,0.02501081590235425,1.0,9.798659611057333e-05,0.9632352941176471,2019-11-19,12.403625170621686,Mexico City
-1.4889534205404107,1,0.02338265810104563,1.0,9.216226256831547e-05,1.0,2019-11-26,0.6333058161814629,Mexico City
-1.4439248478304973,1,0.02441554045317368,1.0,0.00011950496925880241,1.0,2019-12-03,0.16058912724250604,Mexico City
-1.3694388309397612,1,0.025776859442623232,1.0,0.00010810347905813255,1.0,2019-12-10,0.0,Mexico City
